City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
140,Nantucket,US,2022-02-10 17:13:07,41.2835,-70.0995,50.97,78,0,16.11,clear sky
141,Kochki,RU,2022-02-10 17:13:07,54.3358,80.4806,-15.43,100,18,5.32,few clouds
142,Jamestown,US,2022-02-10 17:14:05,42.097,-79.2353,36.52,56,100,13.0,overcast clouds
143,Haines Junction,CA,2022-02-10 17:14:08,60.7522,-137.5108,-1.7,100,29,3.44,scattered clouds
144,Pombas,CV,2022-02-10 17:14:08,17.1503,-25.0201,80.38,60,99,4.79,overcast clouds
145,Hithadhoo,MV,2022-02-10 17:14:09,-0.6,73.0833,82.09,69,100,8.08,overcast clouds
146,Sokol,RU,2022-02-10 17:14:09,59.4617,40.1206,27.39,97,100,6.46,light snow
147,Vao,NC,2022-02-10 17:14:09,-22.6667,167.4833,81.68,86,100,43.98,moderate rain
148,Kysyl-Syr,RU,2022-02-10 17:14:10,63.8986,122.7617,-38.4,100,60,1.63,broken clouds
149,Ustrzyki Dolne,PL,2022-02-10 17:14:10,49.4304,22.5938,39.99,100,79,10.87,broken clouds
150,Lucea,JM,2022-02-10 17:14:10,18.451,-78.1736,79.86,70,2,8.86,clear sky
151,Verkhnyaya Inta,RU,2022-02-10 17:14:11,65.9811,60.3094,15.01,76,100,12.77,overcast clouds
152,Kimbe,PG,2022-02-10 17:14:11,-5.5502,150.1429,76.28,93,98,3.09,light rain
153,Bambous Virieux,MU,2022-02-10 17:14:11,-20.3428,57.7575,79.05,83,75,3.44,light rain
154,Wenling,CN,2022-02-10 17:14:12,28.3669,121.36,43.92,80,100,10.63,light rain
155,Ketchikan,US,2022-02-10 17:14:12,55.3422,-131.6461,39.18,75,100,5.75,overcast clouds
156,Persianovskiy,RU,2022-02-10 17:14:12,47.5137,40.1075,36.12,93,75,13.42,broken clouds
157,Cockburn Town,TC,2022-02-10 17:14:13,21.4612,-71.1419,77.72,73,9,17.18,clear sky
158,Kirakira,SB,2022-02-10 17:10:33,-10.4544,161.9205,78.46,85,95,6.76,overcast clouds
159,Bima,ID,2022-02-10 17:14:13,-8.4667,118.7167,75.65,96,100,0.43,moderate rain
160,Morant Bay,JM,2022-02-10 17:14:14,17.8815,-76.4093,81.63,68,18,9.95,few clouds
161,Pilar,BR,2022-02-10 17:14:14,-9.5972,-35.9567,89.53,41,51,16.84,broken clouds
162,Sabaudia,IT,2022-02-10 17:14:14,41.3003,13.0282,58.35,79,0,6.98,clear sky
163,Lazaro Cardenas,MX,2022-02-10 17:14:15,17.9583,-102.2,80.37,48,77,3.02,broken clouds
164,Ofaqim,IL,2022-02-10 17:14:15,31.3141,34.6203,50.74,81,48,8.16,scattered clouds
165,Tucuma,BR,2022-02-10 17:14:15,-0.1833,-50.05,82.87,72,99,6.85,overcast clouds
166,Puerto Madryn,AR,2022-02-10 17:14:16,-42.7692,-65.0385,71.6,21,69,23.02,broken clouds
167,Comodoro Rivadavia,AR,2022-02-10 17:14:16,-45.8667,-67.5,60.66,41,0,14.97,clear sky
168,Nerchinskiy Zavod,RU,2022-02-10 17:14:16,51.3088,119.61,-17.72,99,86,3.33,overcast clouds
169,Salalah,OM,2022-02-10 17:14:17,17.0151,54.0924,75.29,60,20,4.61,few clouds
170,Camana,PE,2022-02-10 17:14:17,-16.6228,-72.7111,74.91,64,58,9.19,broken clouds
171,Sabha,LY,2022-02-10 17:14:17,27.0377,14.4283,55.0,37,1,8.59,clear sky
172,Cumana,VE,2022-02-10 17:14:18,10.4635,-64.1775,81.5,68,8,17.05,clear sky
173,Botelhos,BR,2022-02-10 17:14:18,-21.6333,-46.395,72.99,80,100,4.5,overcast clouds
174,Port Hardy,CA,2022-02-10 17:14:19,50.6996,-127.4199,45.75,100,100,4.61,light rain
175,Tynda,RU,2022-02-10 17:14:19,55.1667,124.7167,-20.92,96,91,2.66,overcast clouds
176,Santa Rosa,PH,2022-02-10 17:14:19,14.3122,121.1114,79.11,76,68,10.51,broken clouds
177,Buala,SB,2022-02-10 17:14:20,-8.145,159.5921,79.11,85,100,8.03,light rain
178,Alofi,NU,2022-02-10 17:11:45,-19.0595,-169.9187,81.03,74,75,12.82,broken clouds
