City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,San Jose,US,68.59,few clouds,37.3394,-121.895,The Westin San Jose
272,Laguna,US,66.49,clear sky,38.421,-121.4238,Courtyard by Marriott Sacramento Midtown
274,Kahului,US,70.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
276,General Roca,AR,79.2,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
279,Boueni,YT,76.98,overcast clouds,-12.9025,45.0761,Perle du Sud
282,San Patricio,US,68.07,overcast clouds,28.017,-97.5169,La Quinta Inn & Suites by Wyndham Corpus Christi Northwest
283,Houma,US,66.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
284,Kruisfontein,ZA,65.91,broken clouds,-34.0033,24.7314,Villa Petit
285,Sunrise Manor,US,65.75,clear sky,36.2111,-115.0731,MGM Grand
286,Russell,US,65.37,clear sky,32.3502,-85.1999,Hampton Inn & Suites Phenix City- Columbus Area
292,Richards Bay,ZA,75.06,light rain,-28.783,32.0377,Imvubu Lodge
295,Fare,PF,80.33,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
297,Esperance,AU,72.93,broken clouds,-33.8667,121.9,Hospitality Esperance
298,Progreso,MX,79.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
300,Libreville,GA,82.42,overcast clouds,0.3925,9.4537,ONOMO Hotel Libreville
301,Porto Santo,PT,66.58,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
305,Butembo,CD,65.75,overcast clouds,0.15,29.2833,Hotel Butembo
307,Pedasi,PA,82.22,few clouds,7.5333,-80.0333,Hacienda Doña Carmen
308,Nouadhibou,MR,84.18,broken clouds,20.931,-17.0347,El Medina
310,Jaisalmer,IN,66.6,clear sky,26.9147,70.9181,Hotel Fifu
311,Khudumelapye,BW,83.3,broken clouds,-23.8833,24.75,
312,Paita,PE,84.76,broken clouds,-5.0892,-81.1144,Aloha
315,Bonito Oriental,HN,78.42,few clouds,15.7477,-85.7356,Hotel Las Acacias
